variavel: Total das Receitas;;;;;;;;;
caminho: /Finanças Públicas/Tributos Federais/Total das Receitas;;;;;;;;;
fonte: Ministério da Fazenda - Secretaria da Receita Federal. ;;;;;;;;;
agrupador: Município;;;;;;;;;
descricao: ;;;;;;;;;
Município;ibge;latitude;longitude;2010 (R$);2011 (R$);2012 (R$);2013 (R$);2014 (R$);2015 (R$)
Eldorado do Sul;4306767;-30,0847;-51,61869999999;168027919;245131215;238512444;303947964;351759271;345058130
Encantado;4306809;-29,23509999999;-51,8703;67473221;74165355;98829202;106084112;114055512;138249103
Encruzilhada do Sul;4306908;-30,54299999999;-52,5204;10847541;11612780;16059276;18921511;19556700;23994248
Engenho Velho;4306924;-27,706;-52,91449999999;593330;653132;692319;761078;1074218;1053240
Entre Rios do Sul;4306957;-27,5298;-52,73469999999;2575753;3038796;3729086;4101834;3878857;4078036
Entre-ijuís;4306932;-28,3686;-54,26859999999;5843315;6593758;9148779;11616610;12767215;12891997
Erebango;4306973;-27,85439999999;-52,3005;1519672;1837353;2508673;2602120;2648676;4079442
Erechim;4307005;-27,63639999999;-52,2697;323169934;400345159;496760869;524818581;565805480;541497834
Ernestina;4307054;-28,49769999999;-52,58359999999;2055004;2899569;3933785;4713129;5284470;7627379
Erval Grande;4307203;-27,3926;-52,57399999999;3181110;4054169;5209677;5822611;6352160;9364956
Erval Seco;4307302;-27,5443;-53,5005;4837228;5853997;7216329;7855231;7912969;8449935
Esmeralda;4307401;-28,0518;-51,1933;2748382;3299246;4550451;5230450;5590602;6671986
Esperança do Sul;4307450;-27,36029999999;-53,9891;1551716;2037842;2633848;2696912;3561298;3546217
Espumoso;4307500;-28,7286;-52,8461;16734280;21140574;29092537;35450579;38754220;43530642
Estação;4307559;-27,91349999999;-52,2635;9472451;10985819;14109675;18159827;20544844;23041482
Estância Velha;4307609;-29,6535;-51,1843;81858338;91287319;121278912;135710330;160871013;155884427
Esteio;4307708;-29,852;-51,1841;272953595;310962950;344784520;378129080;405809039;432180418
Estrela;4307807;-29,5016;-51,9605;81902416;96819499;125598675;132111177;137901146;123926171
Estrela Velha;4307815;-29,17129999999;-53,16389999999;2182437;2919571;3102057;4041008;4716583;5257024
Eugênio de Castro;4307831;-28,5315;-54,15059999999;2049347;2362076;2487562;3267927;3420647;3651373
Fagundes Varela;4307864;-28,8794;-51,7014;3554571;4056499;5049747;5582721;6289393;6935120
Farroupilha;4307906;-29,2227;-51,3419;416369699;476293244;537409827;570239007;601091589;591990804
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;8134061;9422329;12987932;13950372;15039818;17148740
Faxinalzinho;4308052;-27,4238;-52,67889999999;1060189;1507205;1833550;2188047;2394192;2860308
Fazenda Vilanova;4308078;-29,5885;-51,8217;11937583;12921383;17529323;13245159;5855805;4799763
Feliz;4308102;-29,4527;-51,30319999999;23619947;27201076;33555268;40863695;44815488;42420959
Flores da Cunha;4308201;-29,02619999999;-51,1875;122753786;165301583;208926589;255928755;272409841;267777832
Floriano Peixoto;4308250;-27,8614;-52,08379999999;925890;1138390;1164020;1086573;1287339;1499331
Fontoura Xavier;4308300;-28,9816;-52,34449999999;4941777;5617702;7521115;9803757;11471391;11574673
Formigueiro;4308409;-30,00349999999;-53,49589999999;2827598;3536357;4737617;6132628;8746240;6824313
Forquetinha;4308433;-29,3792;-52,0917;1527535;1922733;2345825;2275165;2659470;2973736
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;3755587;4471383;5966543;6541718;7426972;7384197
Frederico Westphalen;4308508;-27,35859999999;-53,3958;38298569;49013651;66169224;79241403;85178627;90189339
Garibaldi;4308607;-29,259;-51,5352;171753687;208685729;257844918;291580321;317912044;328588587
Garruchos;4308656;-28,1944;-55,6383;2325781;1991875;2407873;2644255;1685005;1870283
Gaurama;4308706;-27,58559999999;-52,0915;7637900;7474776;10507560;11702176;12338643;12826525
General Câmara;4308805;-29,90319999999;-51,7612;2570170;3287629;5793521;6903985;8746198;8827237
