variavel: Total;;;;;;;;
caminho: /Educação/Ensino Médio/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Sagrada Família;4316428;-27,7085;-53,1351;20;31;31;28;30
Saldanha Marinho;4316436;-28,3941;-53,097;40;27;35;25;26
Salto do Jacuí;4316451;-29,09509999999;-53,21329999999;108;86;85;81;89
Salvador das Missões;4316477;-28,1233;-54,83729999999;30;23;27;24;30
Salvador do Sul;4316501;-29,4386;-51,5077;88;62;80;87;93
Sananduva;4316600;-27,94699999999;-51,80789999999;73;106;135;83;128
Santa Bárbara do Sul;4316709;-28,3653;-53,25099999999;88;96;103;85;97
Santa Cecília do Sul;4316733;-28,1537;-51,9296;17;16;15;9;11
Santa Clara do Sul;4316758;-29,47469999999;-52,08429999999;56;42;53;58;50
Santa Cruz do Sul;4316808;-29,722;-52,4343;798;809;862;917;862
Santa Margarida do Sul;4316972;-30,32959999999;-54,08229999999;-;13;16;10;15
Santa Maria;4316907;-29,6868;-53,81499999999;1777;1718;1855;1944;2126
Santa Maria do Herval;4316956;-29,4902;-50,9919;51;48;58;51;75
Santa Rosa;4317202;-27,8702;-54,47959999999;703;651;703;765;793
Santa Tereza;4317251;-29,1655;-51,7351;6;12;13;15;18
Santa Vitória do Palmar;4317301;-33,52499999999;-53,37169999999;243;199;193;240;303
Santana da Boa Vista;4317004;-30,8697;-53,10999999999;62;62;56;53;28
Santana do Livramento;4317103;-30,88769999999;-55,5315;660;587;727;670;691
