variavel: Total;;;;;;;;;;;;
caminho: /Energia Elétrica/Consumo/Total;;;;;;;;;;;;
fonte: Distribuidoras de Energia Elétrica do Rio Grande do Sul.;;;;;;;;;;;;
agrupador: Município;;;;;;;;;;;;
descricao: ;;;;;;;;;;;;
Município;ibge;latitude;longitude;2010 (MWh);2011 (MWh);2012 (MWh);2013 (MWh);2014 (MWh);2015 (MWh);2016 (MWh);2017 (MWh);2018 (MWh)
Erval Seco;4307302;-27,5443;-53,5005;7099;7590;7927;8172;8831;8618;8914;9492;9567
Esmeralda;4307401;-28,0518;-51,1933;3573;3772;4065;4182;4359;4188;4474;4557;4704
Esperança do Sul;4307450;-27,36029999999;-53,9891;3514;3975;4372;4573;5432;5851;5476;5573;5850
Espumoso;4307500;-28,7286;-52,8461;16721;17808;19089;20597;22306;21462;22267;22878;23288
Estação;4307559;-27,91349999999;-52,2635;18432;28942;32282;34095;35705;35165;35522;36855;36175
Estância Velha;4307609;-29,6535;-51,1843;110824;113032;112396;115020;120342;109964;106059;107218;109754
Esteio;4307708;-29,852;-51,1841;236956;246823;302995;304196;316384;288643;272273;270123;268652
Estrela;4307807;-29,5016;-51,9605;99072;105612;112316;109049;107835;101021;105415;111068;114529
Estrela Velha;4307815;-29,17129999999;-53,16389999999;4889;5468;6064;6060;5544;6923;6590;6761;6983
Eugênio de Castro;4307831;-28,5315;-54,15059999999;3930;3989;4285;4208;5212;4819;4861;5216;5686
Fagundes Varela;4307864;-28,8794;-51,7014;6285;6510;6665;7027;7582;7576;7661;7644;7671
Farroupilha;4307906;-29,2227;-51,3419;183425;235445;235050;251337;263504;255963;256748;265825;273888
Faxinal do Soturno;4308003;-29,5788;-53,44839999999;42412;48407;47606;48261;49530;42460;46526;34035;0
Faxinalzinho;4308052;-27,4238;-52,67889999999;2433;2413;2633;2781;2979;3042;3062;3167;3213
Fazenda Vilanova;4308078;-29,5885;-51,8217;14557;14392;14861;13050;13622;13010;7527;6850;6976
Feliz;4308102;-29,4527;-51,30319999999;37342;42365;43396;47823;52289;49097;49737;50325;48469
Flores da Cunha;4308201;-29,02619999999;-51,1875;78551;87248;101627;111586;120087;119497;118375;125680;131517
Fontoura Xavier;4308300;-28,9816;-52,34449999999;-;0;5114;7353;10142;9040;10354;11584;11469
Formigueiro;4308409;-30,00349999999;-53,49589999999;10016;11575;11089;10938;11862;11133;10873;11801;12876
Fortaleza dos Valos;4308458;-28,7986;-53,22489999999;3216;3291;3520;3718;4160;4007;3972;3756;3886
Frederico Westphalen;4308508;-27,35859999999;-53,3958;60946;79697;83334;82040;87503;89241;93101;93265;90027
Garibaldi;4308607;-29,259;-51,5352;112961;153621;150858;161678;171151;170003;169865;164454;168884
Garruchos;4308656;-28,1944;-55,6383;3368;3769;4333;4517;4314;3595;3752;3720;4336
Gaurama;4308706;-27,58559999999;-52,0915;13724;14351;14396;15910;15947;14632;15659;16283;16509
General Câmara;4308805;-29,90319999999;-51,7612;7161;7552;7876;8105;9199;8236;8257;8371;8459
Gentil;4308854;-28,4316;-52,0337;1193;1249;1363;1541;1635;1703;1755;1788;1727
Getúlio Vargas;4308904;-27,8911;-52,22939999999;24109;24891;25950;26659;29259;28201;28629;29394;30183
Giruá;4309001;-28,02969999999;-54,3517;27111;27368;27858;28080;32056;32053;33457;23476;24222
Glorinha;4309050;-29,87979999999;-50,7734;12025;12530;13056;13635;14768;13908;13857;14400;14687
Gramado;4309100;-29,3733;-50,87619999999;94353;100660;106118;114902;123385;122616;126899;126370;128567
Gramado dos Loureiros;4309126;-27,4429;-52,9149;824;851;924;901;947;909;907;968;1022
Gramado Xavier;4309159;-29,2706;-52,5795;1101;1143;1128;1148;1209;1112;976;1165;1216
Gravataí;4309209;-29,94129999999;-50,98689999999;571299;799791;792836;878297;901135;830897;795712;831868;856190
Guabiju;4309258;-28,5421;-51,6948;3626;3434;3392;3617;3757;3863;3665;4169;4363
Guaíba;4309308;-30,10859999999;-51,3233;367344;128193;390031;395097;418073;362531;128538;130922;135794
Guaporé;4309407;-28,8399;-51,88949999999;48242;50403;50408;52543;57560;57228;58604;59999;61960
Guarani das Missões;4309506;-28,1491;-54,56289999999;13902;14025;14219;14490;15404;14494;15332;15179;15767
Harmonia;4309555;-29,5456;-51,4185;10321;11348;12114;12869;14385;14552;15410;16014;16820
Herval;4307104;-32,024;-53,39439999999;5486;6165;9199;7397;6559;6377;6611;6720;6972
