variavel: Total;;;;;;;;
caminho: /Educação/Ensino Fundamental/Número de Concluintes/Total;;;;;;;;
fonte: Secretaria de Educação do Rio Grande do Sul. ;;;;;;;;
agrupador: Município;;;;;;;;
descricao: ;;;;;;;;
Município;ibge;latitude;longitude;2010 (-);2011 (-);2012 (-);2013 (-);2014 (-)
Paverama;4314159;-29,5485;-51,73389999999;81;65;62;51;62
Pedras Altas;4314175;-31,72169999999;-53,58379999999;30;47;36;26;30
Pedro Osório;4314209;-31,8642;-52,81839999999;83;57;73;66;60
Pejuçara;4314308;-28,4283;-53,65789999999;48;58;54;51;40
Pelotas;4314407;-31,7649;-52,3371;3162;3245;3021;3111;3218
Picada Café;4314423;-29,4464;-51,13669999999;68;66;73;72;82
Pinhal;4314456;-27,50799999999;-53,20819999999;33;35;42;27;42
Pinhal da Serra;4314464;-27,86339999999;-51,1702;31;34;32;36;50
Pinhal Grande;4314472;-29,34499999999;-53,3207;69;61;61;55;63
Pinheirinho do Vale;4314498;-27,21089999999;-53,60799999999;74;60;68;67;49
Pinheiro Machado;4314506;-31,5794;-53,3798;145;161;126;123;111
Pinto Bandeira;4314548;-29;-54;-;-;-;26;11
Pirapó;4314555;-28,0439;-55,20009999999;31;33;29;33;48
Piratini;4314605;-31,44729999999;-53,09729999999;233;230;209;204;203
Planalto;4314704;-27,32969999999;-53,0575;141;149;143;175;138
Poço das Antas;4314753;-29,4481;-51,6719;24;23;41;30;18
Pontão;4314779;-28,05849999999;-52,67909999999;56;44;52;47;56
Ponte Preta;4314787;-27,6587;-52,4848;21;23;10;20;12
Portão;4314803;-29,70149999999;-51,24289999999;290;262;264;366;141
Porto Alegre;4314902;-30,032778;-51,23;14043;13755;13375;13745;13958
Porto Lucena;4315008;-27,8569;-55,00999999999;69;60;39;70;60
Porto Mauá;4315057;-27,57959999999;-54,6657;36;23;29;24;30
Porto Vera Cruz;4315073;-27,7405;-54,8994;38;27;28;27;14
Porto Xavier;4315107;-27,9082;-55,1379;145;155;142;155;99
Pouso Novo;4315131;-29,1738;-52,2136;30;21;16;14;17
Presidente Lucena;4315149;-29,5176;-51,1798;24;27;17;21;13
Progresso;4315156;-29,24419999999;-52,31969999999;83;93;99;101;78
Protásio Alves;4315172;-28,7572;-51,4757;16;15;18;28;23
Putinga;4315206;-29,0045;-52,1569;61;46;38;43;55
Quaraí;4315305;-30,384;-56,4483;281;277;249;315;267
Quatro Irmãos;4315313;-27,81629999999;-52,44189999999;18;18;17;21;30
Quevedos;4315321;-29,3504;-54,07889999999;26;38;38;41;22
Quinze de Novembro;4315354;-28,7465;-53,1011;40;29;44;20;26
Redentora;4315404;-27,664;-53,6407;126;122;117;145;155
Relvado;4315453;-29,11639999999;-52,0778;21;27;30;19;16
Restinga Sêca;4315503;-29,8188;-53,38069999999;172;177;164;148;124
Rio dos Índios;4315552;-27,2973;-52,8417;50;69;51;46;46
Rio Grande;4315602;-32,0349;-52,1071;1938;2020;1939;1919;1781
Rio Pardo;4315701;-29,988;-52,37109999999;380;413;387;397;324
